designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
CH 152 x 76 x 18,0,0,152.4,76.2,6.4,9.0,14.0,103.0,0.002248,8.38e-06,0.00011,0.000129,1.09e-06,2e-05,3.83e-05,6.24e-08,3.95e-09,1.067667156e-06,0.0013254760800517,0.001048,61.1,22.1,20.4,41.2
CH 152 x 89 x 24,0,0,152.4,88.9,7.1,11.6,16.0,93.7,0.003002,1.154e-05,0.0001514,0.000177,2.1e-06,3.45e-05,6.37e-05,1.29e-07,7.21e-09,1.7098725264e-06,0.0019996538596594,0.00119,62.0,26.4,26.7,53.4
CH 178 x 76 x 21,0,0,177.8,76.2,6.6,10.3,16.0,123.0,0.002639,1.329e-05,0.0001495,0.000176,1.29e-06,2.36e-05,4.53e-05,8.87e-08,6.39e-09,1.4204285091500004e-06,0.0015061238596594,0.001275,70.99999999999999,22.1,20.5,41.39999999999999
CH 178 x 89 x 27,0,0,177.8,88.9,7.6,12.3,17.0,116.0,0.003379,1.735e-05,0.0001952,0.000229,2.34e-06,3.77e-05,7.09e-05,1.58e-07,1.11e-08,2.176885543350001e-06,0.0021149601384437,0.00147,71.69999999999999,26.3,25.8,51.6
CH 203 x 76 x 24,0,0,203.2,76.2,7.1,11.2,17.0,144.0,0.003028,1.948e-05,0.0001917,0.000227,1.46e-06,2.63e-05,5.08e-05,1.15e-07,9.55e-09,1.7970260224e-06,0.0016401601384437,0.001557,80.19999999999999,22.0,20.0,40.2
CH 203 x 89 x 30,0,0,203.2,88.9,8.1,12.9,17.5,139.0,0.00376,2.469e-05,0.000243,0.000286,2.56e-06,4.06e-05,7.72e-05,1.8800000000000002e-07,1.6100000000000002e-08,2.6925853692e-06,0.0022191563750809,0.001768,80.99999999999999,26.1,24.8,49.8
CH 229 x 76 x 26,0,0,228.6,76.2,7.6,11.2,17.5,169.0,0.003314,2.608e-05,0.0002281,0.000272,1.52e-06,2.67e-05,5.17e-05,1.28e-07,1.3e-08,2.1162645000000008e-06,0.0016321563750809,0.00185,88.69999999999999,21.4,18.7,37.6
CH 229 x 89 x 33,0,0,228.6,88.9,8.6,13.3,19.0,161.0,0.004143,3.364e-05,0.0002943,0.000349,2.74e-06,4.25e-05,8.190000000000001e-05,2.2e-07,2.24e-08,3.231194248800001e-06,0.0022766574739729,0.002105,90.1,25.7,23.7,47.5
CH 245 x 76 x 28,0,0,254.0,76.2,8.1,10.9,19.0,192.0,0.003594,3.361e-05,0.0002646,0.000319,1.53e-06,2.61e-05,5.12e-05,1.44e-07,1.69e-08,2.401213701500001e-06,0.0015760574739729,0.002178,96.7,20.6,17.299999999999997,34.4
CH 245 x 89 x 36,0,0,254.0,88.9,9.1,13.6,20.4,183.0,0.004535,4.435e-05,0.0003492,0.000416,2.89e-06,4.41e-05,8.52e-05,2.56e-07,3e-08,3.784675184000001e-06,0.0023198025993589,0.0024649999999999,98.9,25.3,22.7,45.2
CH 305 x 89 x 42,0,0,304.8,88.9,10.2,13.7,25.7,227.0,0.0053,7.036e-05,0.0004617,0.000572,3.04e-06,4.45e-05,9.29e-05,3.99e-07,5.72e-08,4.8129914154000005e-06,0.0021768352658847,0.003374,115.2,24.0,21.0,41.9
CH 305 x 102 x 46,0,0,304.8,101.6,10.2,14.8,26.7,222.0,0.00581,8.078e-05,0.00053,0.000652,4.72e-06,6.170000000000001e-05,0.000128,4.95e-07,8.63e-08,6.513941760000001e-06,0.0026949449934088,0.003417,117.9,28.5,25.6,52.5
CH 305 x 102 x 55,0,0,381.0,101.6,10.4,16.3,28.2,292.0,0.0069549999999999,0.0001473,0.0007731,0.000952,5.46e-06,7.03e-05,0.000145,6.28e-07,1.57e-07,9.27708587175e-06,0.0029903200709203,0.004317,145.5,28.0,24.3,49.9
CH 432 x 102 x 65,0,0,431.8,101.6,12.2,16.8,24.0,350.0,0.008237,0.0002097,0.0009712,0.00122,5.99e-06,7.56e-05,0.000153,7.440000000000001e-07,2.22e-07,1.12897918476e-05,0.0031341786842338,0.005526,160.0,27.0,22.7,45.3
PFC 100 x 50 x 10,0,0,100.0,50.0,5.0,8.5,9.0,65.0,0.0013,2.077e-06,4.154e-05,4.887e-05,3.23e-07,9.89e-06,1.824e-05,2.53e-08,4.4e-10,2.2722412500000013e-07,0.00085,0.000569,40.0,15.8,17.299999999999997,34.8
PFC 125 x 65 x 15,0,0,125.0,65.0,5.5,9.5,12.0,82.0,0.00188,4.831e-06,7.729e-05,8.988e-05,8.002e-07,1.882e-05,3.433e-05,4.72e-08,1.74e-09,5.362304687500001e-07,0.001235,0.000811,50.7,20.6,22.5,46.1
PFC 150 x 75 x 18,0,0,150.0,75.0,5.5,10.0,12.0,106.0,0.002277,8.61e-06,0.0001148,0.0001320999999999,1.31e-06,2.661e-05,4.831e-05,6.099999999999999e-08,4.24e-09,9.077399999999996e-07,0.0015,0.0009519999999999,61.5,24.0,25.8,53.7
PFC 150 x 90 x 24,0,0,150.0,90.0,6.5,12.0,12.0,102.0,0.003041,1.162e-05,0.0001549,0.0001786,2.532e-06,4.445e-05,7.95e-05,1.1800000000000001e-07,8.15e-09,1.4620500000000005e-06,0.00216,0.001103,61.8,28.9,32.99999999999999,67.69999999999999
PFC 180 x 75 x 20,0,0,180.0,75.0,6.0,10.5,12.0,135.0,0.002591,1.37e-05,0.0001521999999999,0.0001762,1.464e-06,2.876e-05,5.295e-05,7.34e-08,6.92e-09,1.224157725e-06,0.001575,0.001205,72.69999999999999,23.8,24.1,50.49999999999999
PFC 180 x 90 x 26,0,0,180.0,90.0,6.5,12.5,12.0,131.0,0.003319,1.817e-05,0.0002019,0.0002321,2.767e-06,4.744e-05,8.588e-05,1.331e-07,1.303e-08,1.911875625e-06,0.00225,0.001301,74.0,28.9,31.7,65.6
PFC 200 x 75 x 23,0,0,200.0,75.0,6.0,12.5,12.0,151.0,0.002987,1.963e-05,0.0001963,0.000227,1.7e-06,3.384e-05,6.222999999999999e-05,1.109e-07,9.89e-09,1.5750250000000002e-06,0.001875,0.0013369999999999,81.1,23.9,24.8,51.6
PFC 200 x 90 x 30,0,0,200.0,90.0,7.0,14.0,12.0,148.0,0.003786,2.523e-05,0.0002523,0.0002913,3.139e-06,5.34e-05,9.746e-05,1.829e-07,1.8190000000000003e-08,2.420208e-06,0.00252,0.001532,81.6,28.8,31.2,64.4
PFC 230 x 75 x 26,0,0,230.0,75.0,6.5,12.5,12.0,181.0,0.0032689999999999,2.748e-05,0.000239,0.0002784,1.81e-06,3.481e-05,6.411e-05,1.182e-07,1.416e-08,1.9435000000000005e-06,0.001875,0.001626,91.7,23.5,23.0,48.2
PFC 230 x 90 x 32,0,0,230.0,90.0,7.5,14.0,12.0,178.0,0.004097,3.518e-05,0.0003058999999999,0.0003547,3.3410000000000003e-06,5.497e-05,0.0001015,1.9310000000000003e-07,2.595e-08,2.9757952000000003e-06,0.00252,0.00185,92.7,28.6,29.2,60.7
PFC 260 x 75 x 28,0,0,260.0,75.0,7.0,12.0,12.0,212.0,0.003514,3.619e-05,0.0002784,0.0003278,1.855e-06,3.436e-05,6.124e-05,1.173e-07,1.903e-08,2.27448e-06,0.0017999999999999,0.001942,101.5,23.0,21.0,44.3
PFC 260 x 90 x 35,0,0,260.0,90.0,8.0,14.0,12.0,208.0,0.004438,4.728e-05,0.0003637,0.0004246,3.525e-06,5.629e-05,0.0001036,2.057e-07,3.555e-08,3.5660715999999987e-06,0.00252,0.002198,103.2,28.2,27.4,57.2
PFC 300 x 90 x 41,0,0,300.0,90.0,9.0,15.5,12.0,245.0,0.005273,7.218e-05,0.0004812,0.0005677999999999,4.039e-06,6.311999999999999e-05,0.0001137,2.877e-07,5.48e-08,4.7616e-06,0.00279,0.0028079999999999,117.0,27.7,26.0,53.89999999999999
PFC 300 x 100 x 46,0,0,300.0,100.0,9.0,16.5,15.0,237.0,0.0058,8.229e-05,0.0005486,0.0006407,5.678e-06,8.172e-05,0.0001504,3.6840000000000004e-07,7.57e-08,5.977434375000003e-06,0.0033,0.002896,119.1,31.3,30.5,63.6
PFC 380 x 100 x 54,0,0,380.0,100.0,9.5,17.5,15.0,315.0,0.006874,0.0001503,0.0007913,0.0009334,6.43e-06,8.918000000000001e-05,0.0001582,4.5660000000000005e-07,1.418e-07,8.642356625000004e-06,0.0035,0.003803,147.89999999999998,30.6,27.9,58.6
PFC 430 x 100 x 64,0,0,430.0,100.0,11.0,19.0,15.0,362.0,0.008209,0.0002194,0.00102,0.001222,7.225e-06,9.79e-05,0.000159,6.3e-07,2.0780000000000002e-07,1.1124353700000002e-05,0.0038,0.004903,163.5,29.7,26.2,54.0
C 75 x 6.1,0,0,76.2,35.0,4.3,6.9,,38.0,0.000781,6.911e-07,1.814e-05,2.17e-05,7.96e-08,3.27e-06,6.4000000000000006e-06,1.31e-08,7e-11,7.825709520000004e-08,0.00045334,0.0003779999999999,29.8,10.1,10.6,19.9
C 75 x 7.4,0,0,76.2,37.0,6.6,6.9,,38.0,0.000948,7.657999999999999e-07,2.01e-05,2.49e-05,9.630000000000001e-08,3.65e-06,7.360000000000001e-06,2.2000000000000002e-08,9e-11,9.161190720000001e-08,0.00044508,0.000533,28.5,10.1,10.6,18.3
C 75 x 8.9,0,0,76.2,40.0,9.0,6.9,,38.0,0.00113,8.637000000000001e-07,2.267e-05,2.87e-05,1.2099999999999998e-07,4.1900000000000005e-06,8.8e-06,4.14e-08,1.1e-10,1.0826993205000003e-07,0.0004442,0.0007,27.6,10.3,11.3,17.599999999999998
C 100 x 8,0,0,101.6,40.0,4.7,7.5,,66.0,0.00103,1.6030000000000002e-06,3.156e-05,3.78e-05,1.3800000000000004e-07,4.89e-06,9.4e-06,1.67e-08,2.2e-10,1.54733625e-07,0.00055248,0.0005139999999999,39.7,11.599999999999998,11.499999999999998,22.1
C 100 x 10.8,0,0,101.6,43.0,8.2,7.5,,60.0,0.00137,1.908e-06,3.756e-05,4.7e-05,1.74e-07,5.48e-06,1.13e-05,4.25e-08,3e-10,1.91431545e-07,0.00053688,0.000859,37.2,11.2,11.3,19.0
C 130 x 10.4,0,0,127.0,47.0,4.8,8.1,,83.0,0.0012699999999999,3.324e-06,5.234e-05,6.18e-05,2.43e-07,7.190000000000001e-06,1.41e-05,2.7200000000000002e-08,6.2e-10,2.9904566175e-07,0.0006603999999999,0.000681,50.1,13.6,12.9,25.3
C 130 x 13,0,0,127.0,48.0,8.3,8.1,,86.0,0.0017,3.713e-06,5.847e-05,7.309999999999999e-05,2.74e-07,7.65e-06,1.53e-05,4.9e-08,7.3e-10,3.3144971175e-07,0.0006458999999999,0.001071,46.6,12.7,12.1,21.1
C 150 x 12.2,0,0,152.4,48.0,5.1,8.7,,107.0,0.00155,5.484e-06,7.2e-05,8.56e-05,2.92e-07,8.3e-06,1.6100000000000002e-05,3.3700000000000004e-08,1.0900000000000002e-09,4.1538494520000004e-07,0.0007727599999999,0.00085,59.4,13.7,12.6,24.9
C 150 x 15.6,0,0,152.4,51.0,8.0,8.7,,107.0,0.00199,6.3e-06,8.268e-05,0.000103,3.6e-07,9.36e-06,1.87e-05,5.96e-08,1.4e-09,4.938770411999999e-07,0.0007707999999999,0.001258,56.3,13.5,12.4,22.3
C 150 x 19.3,0,0,152.4,54.0,11.1,8.7,,105.0,0.00247,7.207999999999999e-06,9.459e-05,0.000121,4.24e-07,1.03e-05,2.21e-05,1.203e-07,1.72e-09,5.626504368e-07,0.0007783599999999,0.0017079999999999,54.1,13.1,12.8,20.2
C 180 x 14.6,0,0,177.8,53.0,5.3,9.3,,130.0,0.00185,8.955e-06,0.0001007,0.00012,4.270000000000001e-07,1.09e-05,2.11e-05,4.39e-08,2.1800000000000003e-09,6.417223386000003e-07,0.00090766,0.001022,69.4,15.2,13.6,27.3
C 180 x 18.2,0,0,177.8,55.0,8.0,9.3,,130.0,0.00232,1.007e-05,0.0001133,0.00014,4.92e-07,1.18e-05,2.34e-05,7.25e-08,2.62e-09,7.257428398500002e-07,0.0008975999999999,0.001471,65.89999999999999,14.6,13.1,24.1
C 180 x 22,0,0,177.8,58.0,10.6,9.3,,125.0,0.00279,1.143e-05,0.0001285999999999,0.000163,5.68e-07,1.27e-05,2.7e-05,1.392e-07,3.19e-09,8.259804346500004e-07,0.0009053199999999,0.0019309999999999,63.89999999999999,14.2,13.3,22.1
C 200 x 17.1,0,0,203.0,57.0,5.6,9.9,,156.0,0.00218,1.34e-05,0.000132,0.000156,5.38e-07,1.26e-05,2.76e-05,5.86e-08,3.79e-09,9.117807930000004e-07,0.0010432,0.001323,78.6,15.7,14.4,31.9
