designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
MC 200 x 27.8,0,0,203.0,75.0,9.0,12.7,,140.0,0.00355,2.171e-05,0.0002139,0.000258,1.6e-06,2.93e-05,5.68e-05,1.7899999999999997e-07,1.04e-08,1.95678434525e-06,0.001723,0.001935,78.3,21.3,19.9,38.4
MC 200 x 29.8,0,0,203.0,76.0,10.2,12.7,,136.0,0.00379,2.261e-05,0.0002227,0.000271,1.67e-06,2.98e-05,5.87e-05,2.23e-07,1.12e-08,2.04294444725e-06,0.0017193999999999,0.002186,77.19999999999999,21.0,19.7,36.9
MC 200 x 31.8,0,0,203.0,87.0,9.5,13.3,,132.0,0.00405,2.555e-05,0.0002517,0.0003,2.51e-06,4e-05,7.8e-05,2.45e-07,1.62e-08,2.713102511e-06,0.0021214999999999,0.00208,79.4,24.9,23.6,46.1
MC 200 x 33.9,0,0,203.0,88.0,10.8,13.3,,130.0,0.00432,2.645e-05,0.0002606,0.000314,2.62e-06,4.07e-05,8.03e-05,2.98e-07,1.73e-08,2.82550609775e-06,0.0021276,0.002343,78.3,24.6,23.3,44.4
MC 230 x 35.6,0,0,229.0,87.0,10.2,14.0,,158.0,0.0045299999999999,3.547e-05,0.0003098,0.000373,2.75e-06,4.32e-05,8.379999999999999e-05,2.88e-07,2.29e-08,3.293211215e-06,0.0021941999999999,0.002473,88.39999999999999,24.6,22.9,44.3
MC 230 x 37.8,0,0,229.0,88.0,11.4,14.0,,155.0,0.00482,3.67e-05,0.0003205,0.000389,2.86e-06,4.39e-05,8.63e-05,3.45e-07,2.42e-08,3.42814374e-06,0.0022094,0.0027489999999999,87.3,24.4,22.6,42.8
MC 250 x 12.5,0,0,254.0,38.0,4.3,7.1,,215.0,0.00159,1.354e-05,0.0001065999999999,0.000132,1.41e-07,4.59e-06,9.14e-06,1.95e-08,1.7e-09,4.304760885e-07,0.0004978,0.001147,92.0,9.4,7.1,13.999999999999998
MC 250 x 33,0,0,254.0,84.0,7.4,14.6,,179.0,0.00416,4.31e-05,0.0003393999999999,0.000397,2.55e-06,4.22e-05,8.13e-05,2.44e-07,2.58e-08,3.449739100000001e-06,0.0022804,0.0021,101.3,24.6,23.0,46.5
MC 250 x 37,0,0,254.0,86.0,9.7,14.6,,186.0,0.00474,4.543e-05,0.0003576999999999,0.00043,2.85e-06,4.53e-05,8.65e-05,2.82e-07,2.89e-08,3.738298974999999e-06,0.0022762,0.002576,98.1,24.6,22.5,44.2
MC 250 x 42.4,0,0,254.0,100.0,10.8,14.6,,178.0,0.0054,5.257e-05,0.000414,0.000496,4.33e-06,5.9e-05,0.000114,3.82e-07,4.45e-08,5.104278844e-06,0.0026568,0.002903,98.7,28.3,25.8,50.9
