designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 40 x 40 x 5,40.0,40.0,5.0,0.0006360000000000001,1.23e-07,6.13e-06,8.02e-06,1.23e-07,6.13e-06,8.02e-06,2.2300000000000002e-07,0.00031800000000000003,0.00031800000000000003
Tca 45 x 45 x 2,45.0,45.0,2.0,0.000334,1.01e-07,4.5e-06,5.32e-06,1.01e-07,4.5e-06,5.32e-06,1.6300000000000002e-07,0.000167,0.000167
Tca 45 x 45 x 2.5,45.0,45.0,2.5,0.000409,1.21e-07,5.36e-06,6.429999999999999e-06,1.21e-07,5.36e-06,6.429999999999999e-06,1.98e-07,0.0002045,0.0002045
Tca 45 x 45 x 3,45.0,45.0,3.0,0.000481,1.3800000000000002e-07,6.12e-06,7.44e-06,1.3800000000000002e-07,6.12e-06,7.44e-06,2.3e-07,0.00024049999999999996,0.00024049999999999996
Tca 45 x 45 x 4,45.0,45.0,4.0,0.0006150000000000001,1.6600000000000003e-07,7.38e-06,9.22e-06,1.6600000000000003e-07,7.38e-06,9.22e-06,2.87e-07,0.00030750000000000005,0.00030750000000000005
Tca 50 x 50 x 2,50.0,50.0,2.0,0.00037400000000000004,1.4150000000000002e-07,5.66e-06,6.66e-06,1.4150000000000002e-07,5.66e-06,6.66e-06,2.2629999999999998e-07,0.00018700000000000002,0.00018700000000000002
Tca 50 x 50 x 2.5,50.0,50.0,2.5,0.000459,1.6940000000000002e-07,6.78e-06,8.07e-06,1.6940000000000002e-07,6.78e-06,8.07e-06,2.7530000000000004e-07,0.0002295,0.0002295
Tca 50 x 50 x 3,50.0,50.0,3.0,0.000541,1.947e-07,7.79e-06,9.39e-06,1.947e-07,7.79e-06,9.39e-06,3.2130000000000005e-07,0.0002705,0.0002705
Tca 50 x 50 x 4,50.0,50.0,4.0,0.0006950000000000001,2.374e-07,9.49e-06,1.173e-05,2.374e-07,9.49e-06,1.173e-05,4.0420000000000003e-07,0.00034750000000000004,0.00034750000000000004
Tca 50 x 50 x 5,50.0,50.0,5.0,0.0008359999999999999,2.704e-07,1.082e-05,1.37e-05,2.704e-07,1.082e-05,1.37e-05,4.7460000000000003e-07,0.00041799999999999997,0.00041799999999999997
Tca 60 x 60 x 2,60.0,60.0,2.0,0.00045400000000000003,2.514e-07,8.380000000000001e-06,9.79e-06,2.514e-07,8.380000000000001e-06,9.79e-06,3.979e-07,0.00022700000000000002,0.00022700000000000002
Tca 60 x 60 x 3,60.0,60.0,3.0,0.000661,3.5130000000000003e-07,1.171e-05,1.3949999999999999e-05,3.5130000000000003e-07,1.171e-05,1.3949999999999999e-05,5.709e-07,0.0003305,0.0003305
Tca 60 x 60 x 4,60.0,60.0,4.0,0.0008550000000000001,4.355e-07,1.4519999999999998e-05,1.764e-05,4.355e-07,1.4519999999999998e-05,1.764e-05,7.264e-07,0.00042750000000000004,0.00042750000000000004
Tca 60 x 60 x 5,60.0,60.0,5.0,0.001036,5.05e-07,1.6829999999999996e-05,2.0879999999999997e-05,5.05e-07,1.6829999999999996e-05,2.0879999999999997e-05,8.642e-07,0.000518,0.000518
Tca 70 x 70 x 2,70.0,70.0,2.0,0.000534,4.0700000000000003e-07,1.1599999999999999e-05,1.35e-05,4.0700000000000003e-07,1.1599999999999999e-05,1.35e-05,6.4e-07,0.000267,0.000267
Tca 70 x 70 x 3,70.0,70.0,3.0,0.000781,5.752e-07,1.6440000000000002e-05,1.941e-05,5.752e-07,1.6440000000000002e-05,1.941e-05,9.242000000000001e-07,0.0003905,0.0003905
Tca 70 x 70 x 4,70.0,70.0,4.0,0.001015,7.212000000000001e-07,2.06e-05,2.475e-05,7.212000000000001e-07,2.06e-05,2.475e-05,1.1851999999999999e-06,0.0005075,0.0005075
Tca 70 x 70 x 5,70.0,70.0,5.0,0.001236,8.463e-07,2.418e-05,2.955e-05,8.463e-07,2.418e-05,2.955e-05,1.4221000000000001e-06,0.000618,0.000618
Tca 80 x 80 x 2,80.0,80.0,2.0,0.000614,6.170000000000001e-07,1.5399999999999998e-05,1.78e-05,6.170000000000001e-07,1.5399999999999998e-05,1.78e-05,9.63e-07,0.000307,0.000307
Tca 80 x 80 x 3,80.0,80.0,3.0,0.000901,8.784e-07,2.196e-05,2.578e-05,8.784e-07,2.196e-05,2.578e-05,1.3993e-06,0.00045050000000000005,0.00045050000000000005
Tca 80 x 80 x 3.5,80.0,80.0,3.5,0.0010400000000000001,9.98e-07,2.4999999999999998e-05,2.95e-05,9.98e-07,2.4999999999999998e-05,2.95e-05,1.61e-06,0.0005200000000000001,0.0005200000000000001
Tca 80 x 80 x 4,80.0,80.0,4.0,0.001175,1.1104e-06,2.7760000000000002e-05,3.307e-05,1.1104e-06,2.7760000000000002e-05,3.307e-05,1.8044e-06,0.0005875,0.0005875
