designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tre 100 x 50 x 3,100.0,50.0,3.0,0.0008410000000000001,1.0646e-06,2.1289999999999998e-05,2.666e-05,3.6060000000000004e-07,1.442e-05,1.6440000000000002e-05,8.86e-07,0.00028033333333333333,0.0005606666666666667
Tre 100 x 50 x 4,100.0,50.0,4.0,0.001095,1.3414e-06,2.6829999999999996e-05,3.41e-05,4.4950000000000005e-07,1.798e-05,2.0929999999999998e-05,1.13e-06,0.000365,0.00073
Tre 100 x 50 x 5,100.0,50.0,5.0,0.001336,1.5818e-06,3.164e-05,4.084e-05,5.245e-07,2.098e-05,2.4949999999999997e-05,1.3490000000000001e-06,0.00044533333333333333,0.0008906666666666667
Tre 100 x 60 x 3,100.0,60.0,3.0,0.000901,1.2057e-06,2.4109999999999998e-05,2.957e-05,5.465e-07,1.822e-05,2.079e-05,1.217e-06,0.00033787499999999996,0.000563125
Tre 100 x 60 x 4,100.0,60.0,4.0,0.001175,1.5258e-06,3.052e-05,3.794e-05,6.868e-07,2.289e-05,2.66e-05,1.5630000000000001e-06,0.00044062500000000004,0.000734375
Tre 100 x 60 x 5,100.0,60.0,5.0,0.001436,1.8075999999999999e-06,3.615e-05,4.559e-05,8.081999999999999e-07,2.694e-05,3.188e-05,1.8790000000000001e-06,0.0005385,0.0008975000000000001
Tre 100 x 80 x 3,100.0,80.0,3.0,0.0010210000000000002,1.4881e-06,2.976e-05,3.539e-05,1.0564e-06,2.641e-05,3.0399999999999997e-05,1.961e-06,0.0004537777777777779,0.0005672222222222223
Tre 100 x 80 x 4,100.0,80.0,4.0,0.001335,1.8946e-06,3.789e-05,4.5619999999999994e-05,1.3417e-06,3.354e-05,3.9149999999999996e-05,2.538e-06,0.0005933333333333334,0.0007416666666666667
Tre 100 x 80 x 5,100.0,80.0,5.0,0.001636,2.2593e-06,4.518999999999999e-05,5.509e-05,1.596e-06,3.9899999999999994e-05,4.722999999999999e-05,3.075e-06,0.0007271111111111111,0.0009088888888888889
Tre 120 x 60 x 3,120.0,60.0,3.0,0.0010210000000000002,1.8912e-06,3.1519999999999996e-05,3.918e-05,6.440000000000001e-07,2.147e-05,2.421e-05,1.5630000000000001e-06,0.0003403333333333334,0.0006806666666666668
Tre 120 x 60 x 4,120.0,60.0,4.0,0.001335,2.4074e-06,4.0119999999999995e-05,5.049e-05,8.125000000000001e-07,2.7079999999999998e-05,3.1079999999999994e-05,2.011e-06,0.00044500000000000003,0.0008900000000000001
Tre 120 x 60 x 5,120.0,60.0,5.0,0.001636,2.8697000000000002e-06,4.7829999999999994e-05,6.095e-05,9.599e-07,3.2e-05,3.738e-05,2.422e-06,0.0005453333333333334,0.0010906666666666669
Tre 120 x 60 x 7,120.0,60.0,7.0,0.0021600000000000005,3.49e-06,5.811999999999999e-05,7.68e-05,1.1600000000000001e-06,3.8599999999999996e-05,4.7e-05,3.12e-06,0.0007200000000000002,0.0014400000000000003
Tre 120 x 80 x 3,120.0,80.0,3.0,0.001141,2.3019e-06,3.8369999999999993e-05,4.62e-05,1.2343000000000002e-06,3.086e-05,3.502e-05,2.555e-06,0.0004564,0.0006846
Tre 120 x 80 x 4,120.0,80.0,4.0,0.001495,2.9458e-06,4.91e-05,5.977e-05,1.5729e-06,3.9319999999999996e-05,4.522999999999999e-05,3.312e-06,0.000598,0.000897
Tre 120 x 80 x 5,120.0,80.0,5.0,0.001836,3.5313999999999998e-06,5.8859999999999995e-05,7.245e-05,1.8777e-06,4.6939999999999994e-05,5.472999999999999e-05,4.023e-06,0.0007344000000000001,0.0011015999999999999
Tre 140 x 40 x 3,140.0,40.0,3.0,0.00102,2.22e-06,3.17e-05,4.179999999999999e-05,2.99e-07,1.4999999999999999e-05,1.68e-05,9.03e-07,0.00022666666666666668,0.0007933333333333334
Tre 140 x 40 x 4,140.0,40.0,4.0,0.0013300000000000002,2.82e-06,4.02e-05,5.379999999999999e-05,3.7100000000000003e-07,1.86e-05,2.14e-05,1.14e-06,0.00029555555555555563,0.0010344444444444446
Tre 140 x 40 x 5,140.0,40.0,5.0,0.00164,3.35e-06,4.7799999999999996e-05,6.479999999999999e-05,4.3100000000000003e-07,2.1499999999999997e-05,2.55e-05,1.35e-06,0.0003644444444444444,0.0012755555555555556
Tre 140 x 60 x 3,140.0,60.0,3.0,0.0011400000000000002,2.78e-06,3.97e-05,4.9999999999999996e-05,7.420000000000001e-07,2.4699999999999997e-05,2.76e-05,1.9200000000000003e-06,0.0003420000000000001,0.0007980000000000001
Tre 140 x 60 x 4,140.0,60.0,4.0,0.00149,3.5600000000000002e-06,5.0799999999999995e-05,6.46e-05,9.38e-07,3.13e-05,3.56e-05,2.47e-06,0.000447,0.001043
Tre 140 x 60 x 5,140.0,60.0,5.0,0.0018399999999999998,4.26e-06,6.0799999999999994e-05,7.829999999999999e-05,1.11e-06,3.71e-05,4.29e-05,2.9800000000000003e-06,0.000552,0.001288
Tre 140 x 60 x 6,140.0,60.0,6.0,0.0021600000000000005,4.89e-06,6.99e-05,9.099999999999999e-05,1.26e-06,4.21e-05,4.96e-05,3.44e-06,0.0006480000000000001,0.0015120000000000003
Tre 140 x 80 x 3,140.0,80.0,3.0,0.00126,3.34e-06,4.7799999999999996e-05,5.82e-05,1.41e-06,3.53e-05,3.96e-05,3.17e-06,0.0004581818181818182,0.0008018181818181819
Tre 140 x 80 x 4,140.0,80.0,4.0,0.0016550000000000002,4.296e-06,6.136999999999999e-05,7.551e-05,1.8041999999999998e-06,4.51e-05,5.131e-05,4.116e-06,0.0006018181818181819,0.0010531818181818183
Tre 140 x 80 x 5,140.0,80.0,5.0,0.002036,5.1705e-06,7.386e-05,9.18e-05,2.1594e-06,5.3979999999999995e-05,6.222999999999999e-05,5.005e-06,0.0007403636363636363,0.0012956363636363636
Tre 140 x 80 x 7,140.0,80.0,7.0,0.00272,6.4900000000000005e-06,9.27e-05,0.000118,2.7e-06,6.75e-05,8.02e-05,6.61e-06,0.000989090909090909,0.0017309090909090911
Tre 150 x 50 x 3,150.0,50.0,3.0,0.0011400000000000002,2.99e-06,3.98e-05,5.1399999999999996e-05,5.26e-07,2.11e-05,2.35e-05,1.5e-06,0.00028500000000000004,0.0008550000000000001
Tre 150 x 50 x 4,150.0,50.0,4.0,0.00149,3.81e-06,5.09e-05,6.65e-05,6.620000000000001e-07,2.65e-05,3.01e-05,1.9200000000000003e-06,0.0003725,0.0011175
Tre 150 x 50 x 5,150.0,50.0,5.0,0.0018399999999999998,4.56e-06,6.0799999999999994e-05,8.049999999999999e-05,7.790000000000001e-07,3.11e-05,3.62e-05,2.3e-06,0.00046,0.00138
Tre 150 x 50 x 6,150.0,50.0,6.0,0.0021600000000000005,5.23e-06,6.979999999999999e-05,9.35e-05,8.790000000000001e-07,3.52e-05,4.1700000000000004e-05,2.64e-06,0.0005400000000000001,0.0016200000000000003
Tre 150 x 100 x 3,150.0,100.0,3.0,0.00144,4.61e-06,6.14e-05,7.35e-05,2.48e-06,4.95e-05,5.5799999999999994e-05,5.07e-06,0.000576,0.0008640000000000001
Tre 150 x 100 x 4,150.0,100.0,4.0,0.001895,5.946e-06,7.928e-05,9.567e-05,3.1856e-06,6.371e-05,7.25e-05,6.616000000000001e-06,0.000758,0.001137
Tre 150 x 100 x 5,150.0,100.0,5.0,0.002336,7.192000000000001e-06,9.588999999999999e-05,0.00011673,3.8401e-06,7.68e-05,8.834e-05,8.087e-06,0.0009344,0.0014016
Tre 160 x 80 x 3,160.0,80.0,3.0,0.0013800000000000002,4.6400000000000005e-06,5.8e-05,7.14e-05,1.59e-06,3.98e-05,4.429999999999999e-05,3.8e-06,0.00046000000000000007,0.0009200000000000001
Tre 160 x 80 x 4,160.0,80.0,4.0,0.001815,5.977100000000001e-06,7.471e-05,9.286e-05,2.0354e-06,5.0889999999999996e-05,5.739e-05,4.941000000000001e-06,0.000605,0.00121
Tre 160 x 80 x 5,160.0,80.0,5.0,0.002236,7.216799999999999e-06,9.020999999999999e-05,0.00011316,2.441e-06,6.103e-05,6.973e-05,6.013e-06,0.0007453333333333334,0.0014906666666666668
Tre 180 x 80 x 3,180.0,80.0,3.0,0.0015,6.21e-06,6.9e-05,8.58e-05,1.77e-06,4.4200000000000004e-05,4.8899999999999996e-05,4.45e-06,0.00046153846153846153,0.0010384615384615384
Tre 180 x 80 x 4,180.0,80.0,4.0,0.00197,8.02e-06,8.909999999999998e-05,0.000112,2.27e-06,5.67e-05,6.35e-05,5.78e-06,0.0006061538461538461,0.0013638461538461536
Tre 180 x 80 x 5,180.0,80.0,5.0,0.00244,9.71e-06,0.000108,0.000137,2.7200000000000002e-06,6.809999999999999e-05,7.719999999999999e-05,7.04e-06,0.0007507692307692307,0.0016892307692307693
Tre 180 x 80 x 6,180.0,80.0,6.0,0.00288,1.128e-05,0.000125,0.00015999999999999999,3.14e-06,7.85e-05,9.02e-05,8.23e-06,0.0008861538461538462,0.001993846153846154
Tre 180 x 80 x 7,180.0,80.0,7.0,0.00328,1.239e-05,0.000138,0.000178,3.45e-06,8.62e-05,0.000101,9.34e-06,0.0010092307692307692,0.0022707692307692307
Tre 180 x 80 x 8,180.0,80.0,8.0,0.0036799999999999997,1.362e-05,0.00015099999999999998,0.000198,3.77e-06,9.409999999999998e-05,0.000111,1.036e-05,0.0011323076923076922,0.0025476923076923077
Tre 200 x 100 x 3,200.0,100.0,3.0,0.0017410000000000001,9.2433e-06,9.243000000000001e-05,0.00011325,3.1823000000000004e-06,6.365e-05,7.031e-05,7.543e-06,0.0005803333333333333,0.0011606666666666666
Tre 200 x 100 x 4,200.0,100.0,4.0,0.002295,1.1997e-05,0.00011996999999999999,0.00014804,4.1078e-06,8.216e-05,9.169999999999999e-05,9.854e-06,0.0007650000000000001,0.0015300000000000001
Tre 200 x 100 x 5,200.0,100.0,5.0,0.002836,1.45925e-05,0.00014591999999999999,0.00018137,4.9693e-06,9.939e-05,0.00011208999999999999,1.2063e-05,0.0009453333333333334,0.0018906666666666668
Tre 200 x 100 x 6,200.0,100.0,6.0,0.0033630000000000005,1.7033e-05,0.00017033,0.00021327,5.7690999999999995e-06,0.00011538,0.0001315,1.417e-05,0.0011210000000000003,0.0022420000000000005
Tre 200 x 150 x 3,200.0,150.0,3.0,0.00204,1.215e-05,0.000122,0.000143,7.85e-06,0.00010499999999999999,0.000118,1.478e-05,0.0008742857142857144,0.0011657142857142858
Tre 200 x 150 x 4,200.0,150.0,4.0,0.002695,1.5839200000000002e-05,0.00015838999999999998,0.00018724,1.02103e-05,0.00013613999999999998,0.00015407,1.942e-05,0.001155,0.0015400000000000001
Tre 200 x 150 x 5,200.0,150.0,5.0,0.003336,1.9346600000000002e-05,0.00019347,0.00023012,1.24503e-05,0.000166,0.00018922999999999998,2.3914000000000002e-05,0.0014297142857142857,0.0019062857142857143
Tre 200 x 150 x 6,200.0,150.0,6.0,0.003963,2.26802e-05,0.0002268,0.00027147,1.45711e-05,0.00019428,0.00022308,2.8261999999999998e-05,0.0016984285714285714,0.0022645714285714287
Tre 200 x 150 x 8,200.0,150.0,8.0,0.00512,2.8290000000000002e-05,0.000283,0.00034399999999999996,1.816e-05,0.000242,0.000283,3.665e-05,0.002194285714285714,0.002925714285714286
Tre 200 x 150 x 10,200.0,150.0,10.0,0.006260000000000001,3.348e-05,0.000335,0.00041299999999999996,2.143e-05,0.000286,0.000339,4.428e-05,0.0026828571428571435,0.0035771428571428577
Tre 200 x 150 x 12,200.0,150.0,12.0,0.007209999999999999,3.668e-05,0.000367,0.000463,2.353e-05,0.000314,0.00037999999999999997,5.099e-05,0.00309,0.0041199999999999995
Tre 250 x 100 x 3,250.0,100.0,3.0,0.0020410000000000003,1.60563e-05,0.00012844999999999998,0.00016052000000000001,3.8882e-06,7.776e-05,8.486e-05,1.0117e-05,0.0005831428571428573,0.0014578571428571431
Tre 250 x 100 x 4,250.0,100.0,4.0,0.002695,2.0916500000000002e-05,0.00016733,0.00021040999999999999,5.0299e-06,0.00010059999999999999,0.0001109,1.3225e-05,0.0007700000000000001,0.0019249999999999998
Tre 250 x 100 x 5,250.0,100.0,5.0,0.003336,2.55375e-05,0.0002043,0.00025851,6.0985e-06,0.00012197,0.00013584,1.6201e-05,0.0009531428571428572,0.0023828571428571427
Tre 250 x 100 x 6,250.0,100.0,6.0,0.003963,2.99233e-05,0.00023938999999999997,0.00030485,7.0963e-06,0.00014193,0.00015969999999999998,1.9045e-05,0.0011322857142857144,0.0028307142857142862
Tre 250 x 100 x 8,250.0,100.0,8.0,0.00512,3.714e-05,0.000297,0.000385,8.750000000000001e-06,0.000175,0.00020099999999999998,2.4390000000000002e-05,0.001462857142857143,0.003657142857142857
Tre 250 x 100 x 10,250.0,100.0,10.0,0.006260000000000001,4.384e-05,0.00035099999999999997,0.00046199999999999995,1.021e-05,0.000204,0.00023999999999999998,2.91e-05,0.0017885714285714289,0.0044714285714285715
Tre 250 x 100 x 12,250.0,100.0,12.0,0.007209999999999999,4.757e-05,0.000381,0.0005149999999999999,1.109e-05,0.000222,0.000268,3.287e-05,0.0020599999999999998,0.005149999999999999
Tre 250 x 150 x 4,250.0,150.0,4.0,0.00309,2.697e-05,0.000216,0.00026,1.234e-05,0.000165,0.000183,2.665e-05,0.0011587499999999998,0.0019312499999999998
Tre 300 x 100 x 4,300.0,100.0,4.0,0.00309,3.32e-05,0.00022099999999999998,0.000283,5.95e-06,0.00011899999999999999,0.00013,1.668e-05,0.0007725,0.0023174999999999997
Tre 300 x 100 x 5,300.0,100.0,5.0,0.00384,4.065e-05,0.000271,0.000348,7.23e-06,0.000145,0.00015999999999999999,2.044e-05,0.00096,0.00288
Tre 300 x 100 x 12,300.0,100.0,12.0,0.008409999999999999,7.808e-05,0.000521,0.00071,1.343e-05,0.000269,0.000321,4.177e-05,0.0021024999999999998,0.006307499999999999
Tre 300 x 150 x 5,300.0,150.0,5.0,0.00434,5.153e-05,0.00034399999999999996,0.00042199999999999996,1.771e-05,0.000236,0.00026199999999999997,4.214e-05,0.0014466666666666666,0.0028933333333333333
Tre 300 x 150 x 6,300.0,150.0,6.0,0.0051600000000000005,6.0740000000000005e-05,0.000405,0.0005,2.08e-05,0.000277,0.000309,4.9880000000000004e-05,0.0017200000000000004,0.0034400000000000008
Tre 300 x 150 x 8,300.0,150.0,8.0,0.00672,7.684e-05,0.000512,0.0006399999999999999,2.623e-05,0.00035,0.000396,6.491e-05,0.00224,0.00448
Tre 300 x 200 x 4,300.0,200.0,4.0,0.0038900000000000002,5.0730000000000004e-05,0.000338,0.000401,2.737e-05,0.000274,0.000305,5.5270000000000004e-05,0.001556,0.002334
Tre 300 x 200 x 5,300.0,200.0,5.0,0.00484,6.241000000000001e-05,0.000416,0.000496,3.361e-05,0.000336,0.000376,6.836e-05,0.001936,0.002904
Tre 400 x 200 x 5,400.0,200.0,5.0,0.00584,0.0001249,0.000624,0.000762,4.312e-05,0.00043099999999999996,0.000474,0.00010159000000000001,0.0019466666666666666,0.0038933333333333333
Tre 400 x 200 x 6,400.0,200.0,6.0,0.00696,0.00014789,0.000739,0.000906,5.092e-05,0.000509,0.000562,0.00012069,0.00232,0.00464
Tre 400 x 250 x 5,400.0,250.0,5.0,0.00634,0.0001444,0.000722,0.000861,7.056e-05,0.000565,0.0006259999999999999,0.00014773,0.0024384615384615382,0.0039015384615384615
Tre 400 x 250 x 6,400.0,250.0,6.0,0.00756,0.00017118,0.000856,0.001024,8.352e-05,0.000668,0.000744,0.0001758,0.0029076923076923077,0.004652307692307693
Tre 400 x 250 x 8,400.0,250.0,8.0,0.00992,0.00022048,0.001102,0.00133,0.00010744,0.00086,0.000966,0.00023127,0.0038153846153846155,0.0061046153846153845
Tci 21.3 x 2,21.3,,2.0,0.000121,5.7e-09,5.4e-07,7.48e-07,5.7e-09,5.4e-07,7.48e-07,1.14e-08,7.703099245647735e-05,7.703099245647735e-05
Tci 21.3 x 2.3,21.3,,2.3,0.00013700000000000002,6.29e-09,5.9e-07,8.34e-07,6.29e-09,5.9e-07,8.34e-07,1.26e-08,8.721690881435866e-05,8.721690881435866e-05
Tci 25 x 2,25.0,,2.0,0.000145,9.63e-09,7.699999999999999e-07,1.06e-06,9.63e-09,7.699999999999999e-07,1.06e-06,1.93e-08,9.23098669932993e-05,9.23098669932993e-05
Tci 26.9 x 2,26.9,,2.0,0.00015600000000000002,1.22e-08,9.1e-07,1.243e-06,1.22e-08,9.1e-07,1.243e-06,2.44e-08,9.93126844893427e-05,9.93126844893427e-05
Tci 26.9 x 2.3,26.9,,2.3,0.00017800000000000002,1.3600000000000001e-08,1.0099999999999999e-06,1.4e-06,1.3600000000000001e-08,1.0099999999999999e-06,1.4e-06,2.71e-08,0.0001133183194814295,0.0001133183194814295
Tci 30 x 2,30.0,,2.0,0.00017600000000000002,1.73e-08,1.16e-06,1.57e-06,1.73e-08,1.16e-06,1.57e-06,3.47e-08,0.00011204507993669434,0.00011204507993669434
Tci 33.7 x 2,33.7,,2.0,0.000199,2.511e-08,1.49e-06,2.012e-06,2.511e-08,1.49e-06,2.012e-06,5.02e-08,0.0001266873347011487,0.0001266873347011487
Tci 33.7 x 2.6,33.7,,2.6,0.000254,3.09e-08,1.84e-06,2.52e-06,3.09e-08,1.84e-06,2.52e-06,6.19e-08,0.00016170142218136567,0.00016170142218136567
Tci 33.7 x 2.9,33.7,,2.9,0.000281,3.3599999999999996e-08,1.99e-06,2.76e-06,3.3599999999999996e-08,1.99e-06,2.76e-06,9.710000000000002e-08,0.00017889015603529036,0.00017889015603529036
Tci 33.7 x 3,33.7,,3.0,0.00028900000000000003,3.44e-08,2.04e-06,2.84e-06,3.44e-08,2.04e-06,2.84e-06,6.88e-08,0.00018398311421423104,0.00018398311421423104
Tci 35 x 2,35.0,,2.0,0.000207,2.8300000000000002e-08,1.62e-06,2.18e-06,2.8300000000000002e-08,1.62e-06,2.18e-06,5.67e-08,0.00013178029288008934,0.00013178029288008934
Tci 40 x 2,40.0,,2.0,0.00023900000000000004,4.32e-08,2.16e-06,2.89e-06,4.32e-08,2.16e-06,2.89e-06,8.64e-08,0.00015215212559585196,0.00015215212559585196
Tci 42.4 x 2,42.4,,2.0,0.000254,5.1890000000000003e-08,2.4500000000000003e-06,3.267e-06,5.1890000000000003e-08,2.4500000000000003e-06,3.267e-06,1.0380000000000002e-07,0.00016170142218136567,0.00016170142218136567
Tci 42.4 x 2.6,42.4,,2.6,0.00032500000000000004,6.46e-08,3.0499999999999996e-06,4.1199999999999995e-06,6.46e-08,3.0499999999999996e-06,4.1199999999999995e-06,1.29e-07,0.00020690142601946396,0.00020690142601946396
Tci 42.4 x 2.9,42.4,,2.9,0.00036,7.06e-08,3.33e-06,4.53e-06,7.06e-08,3.33e-06,4.53e-06,1.41e-07,0.0002291831180523293,0.0002291831180523293
Tci 42.4 x 3.2,42.4,,3.2,0.00039400000000000004,7.620000000000001e-08,3.5899999999999995e-06,4.929999999999999e-06,7.620000000000001e-08,3.5899999999999995e-06,4.929999999999999e-06,1.5199999999999998e-07,0.0002508281903128271,0.0002508281903128271
Tci 45 x 2,45.0,,2.0,0.00027000000000000006,6.26e-08,2.7799999999999996e-06,3.7e-06,6.26e-08,2.7799999999999996e-06,3.7e-06,1.25e-07,0.000171887338539247,0.000171887338539247
Tci 48.3 x 2,48.3,,2.0,0.000291,7.806e-08,3.23e-06,4.29e-06,7.806e-08,3.23e-06,4.29e-06,1.561e-07,0.0001852563537589662,0.0001852563537589662
Tci 48.3 x 2.5,48.3,,2.5,0.00036,9.455e-08,3.92e-06,5.248999999999999e-06,9.455e-08,3.92e-06,5.248999999999999e-06,1.891e-07,0.0002291831180523293,0.0002291831180523293
Tci 48.3 x 2.9,48.3,,2.9,0.000414,1.0699999999999999e-07,4.43e-06,5.99e-06,1.0699999999999999e-07,4.43e-06,5.99e-06,2.1399999999999998e-07,0.0002635605857601787,0.0002635605857601787
Tci 48.3 x 3.2,48.3,,3.2,0.00045300000000000006,1.1599999999999999e-07,4.8e-06,6.519999999999999e-06,1.1599999999999999e-07,4.8e-06,6.519999999999999e-06,2.3199999999999999e-07,0.0002883887568825144,0.0002883887568825144
Tci 50 x 2,50.0,,2.0,0.000302,8.7e-08,3.4799999999999997e-06,4.61e-06,8.7e-08,3.4799999999999997e-06,4.61e-06,1.74e-07,0.0001922591712550096,0.0001922591712550096
Tci 60.3 x 2,60.3,,2.0,0.000366,1.5573e-07,5.17e-06,6.799999999999999e-06,1.5573e-07,5.17e-06,6.799999999999999e-06,3.115e-07,0.00023300283668653478,0.00023300283668653478
Tci 60.3 x 2.5,60.3,,2.5,0.00045400000000000003,1.8983e-07,6.3e-06,8.357e-06,1.8983e-07,6.3e-06,8.357e-06,3.797e-07,0.00028902537665488197,0.00028902537665488197
Tci 60.3 x 2.9,60.3,,2.9,0.000523,2.1600000000000003e-07,7.16e-06,9.56e-06,2.1600000000000003e-07,7.16e-06,9.56e-06,4.3200000000000006e-07,0.00033295214094824507,0.00033295214094824507
Tci 60.3 x 3.2,60.3,,3.2,0.0005740000000000001,2.35e-07,7.78e-06,1.04e-05,2.35e-07,7.78e-06,1.04e-05,4.69e-07,0.00036541974933899176,0.00036541974933899176
Tci 70 x 2.9,70.0,,2.9,0.0006110000000000001,3.4500000000000003e-07,9.849999999999999e-06,1.3099999999999998e-05,3.4500000000000003e-07,9.849999999999999e-06,1.3099999999999998e-05,6.890000000000001e-07,0.0003889746809165923,0.0003889746809165923
Tci 76.1 x 2,76.1,,2.0,0.0004650000000000001,3.1962e-07,8.4e-06,1.0984e-05,3.1962e-07,8.4e-06,1.0984e-05,6.392000000000001e-07,0.00029602819415092536,0.00029602819415092536
Tci 76.1 x 2.9,76.1,,2.9,0.0006670000000000001,4.47e-07,1.18e-05,1.55e-05,4.47e-07,1.18e-05,1.55e-05,8.95e-07,0.0004246253881691768,0.0004246253881691768
Tci 76.1 x 3.2,76.1,,3.2,0.000733,4.88e-07,1.28e-05,1.7e-05,4.88e-07,1.28e-05,1.7e-05,9.76e-07,0.00046664229314543715,0.00046664229314543715
Tci 76.1 x 4,76.1,,4.0,0.0009060000000000001,5.9026e-07,1.551e-05,2.0815e-05,5.9026e-07,1.551e-05,2.0815e-05,1.1805e-06,0.0005767775137650288,0.0005767775137650288
Tci 88.9 x 2,88.9,,2.0,0.000546,5.1542e-07,1.1599999999999999e-05,1.5105999999999999e-05,5.1542e-07,1.1599999999999999e-05,1.5105999999999999e-05,1.0308e-06,0.00034759439571269943,0.00034759439571269943
Tci 88.9 x 3,88.9,,3.0,0.000809,7.4726e-07,1.6809999999999997e-05,2.2145e-05,7.4726e-07,1.6809999999999997e-05,2.2145e-05,1.4944999999999998e-06,0.0005150253958453733,0.0005150253958453733
Tci 88.9 x 3.2,88.9,,3.2,0.0008619999999999999,7.92e-07,1.78e-05,2.35e-05,7.92e-07,1.78e-05,2.35e-05,1.5800000000000001e-06,0.0005487662437808551,0.0005487662437808551
Tci 88.9 x 4,88.9,,4.0,0.001066,9.6291e-07,2.166e-05,2.8853e-05,9.6291e-07,2.166e-05,2.8853e-05,1.9258000000000003e-06,0.0006786366773438418,0.0006786366773438418
Tci 88.9 x 5,88.9,,5.0,0.001317,1.16315e-06,2.6170000000000002e-05,3.5238e-05,1.16315e-06,2.6170000000000002e-05,3.5238e-05,2.3263e-06,0.0008384282402081047,0.0008384282402081047
Tci 101.6 x 2,101.6,,2.0,0.000625,7.7593e-07,1.5269999999999998e-05,1.9843e-05,7.7593e-07,1.5269999999999998e-05,1.9843e-05,1.5519e-06,0.0003978873577297384,0.0003978873577297384
Tci 101.6 x 3,101.6,,3.0,0.0009289999999999999,1.12978e-06,2.2239999999999997e-05,2.9175e-05,1.12978e-06,2.2239999999999997e-05,2.9175e-05,2.2596e-06,0.000591419768529483,0.000591419768529483
Tci 101.6 x 3.6,101.6,,3.6,0.00111,1.33e-06,2.6199999999999996e-05,3.46e-05,1.33e-06,2.6199999999999996e-05,3.46e-05,2.66e-06,0.0007066479473280154,0.0007066479473280154
Tci 101.6 x 4,101.6,,4.0,0.001226,1.4621000000000002e-06,2.878e-05,3.8124e-05,1.4621000000000002e-06,2.878e-05,3.8124e-05,2.9242000000000003e-06,0.0007804958409226548,0.0007804958409226548
Tci 101.6 x 5,101.6,,5.0,0.0015170000000000001,1.77379e-06,3.492e-05,4.6698999999999995e-05,1.77379e-06,3.492e-05,4.6698999999999995e-05,3.5476e-06,0.000965752194681621,0.000965752194681621
Tci 114.3 x 2,114.3,,2.0,0.000706,1.11e-06,1.95e-05,2.52e-05,1.11e-06,1.95e-05,2.52e-05,2.2300000000000002e-06,0.00044945355929151246,0.00044945355929151246
Tci 114.3 x 3,114.3,,3.0,0.001048,1.62466e-06,2.8429999999999997e-05,3.7171999999999996e-05,1.62466e-06,2.8429999999999997e-05,3.7171999999999996e-05,3.2493e-06,0.0006671775214412253,0.0006671775214412253
Tci 114.3 x 3.6,114.3,,3.6,0.00125,1.9200000000000003e-06,3.36e-05,4.41e-05,1.9200000000000003e-06,3.36e-05,4.41e-05,3.8400000000000005e-06,0.0007957747154594768,0.0007957747154594768
Tci 114.3 x 4,114.3,,4.0,0.001385,2.10958e-06,3.691e-05,4.8686e-05,2.10958e-06,3.691e-05,4.8686e-05,4.2192e-06,0.0008817183847291001,0.0008817183847291001
Tci 114.3 x 5,114.3,,5.0,0.001716,2.5679000000000004e-06,4.493e-05,5.9774e-05,2.5679000000000004e-06,4.493e-05,5.9774e-05,5.135800000000001e-06,0.0010924395293827698,0.0010924395293827698
Tci 127 x 3,127.0,,3.0,0.00117,2.25e-06,3.54e-05,4.61e-05,2.25e-06,3.54e-05,4.61e-05,4.5e-06,0.0007448451336700702,0.0007448451336700702
Tci 133 x 3,133.0,,3.0,0.0012300000000000002,2.59e-06,3.89e-05,5.07e-05,2.59e-06,3.89e-05,5.07e-05,5.18e-06,0.0007830423200121252,0.0007830423200121252
Tci 133 x 4,133.0,,4.0,0.00162,3.3800000000000002e-06,5.0799999999999995e-05,6.659999999999999e-05,3.3800000000000002e-06,5.0799999999999995e-05,6.659999999999999e-05,6.75e-06,0.0010313240312354818,0.0010313240312354818
Tci 133 x 5,133.0,,5.0,0.00201,4.12e-06,6.2e-05,8.2e-05,4.12e-06,6.2e-05,8.2e-05,8.25e-06,0.0012796057424588386,0.0012796057424588386
Tci 133 x 6,133.0,,6.0,0.0023899999999999998,4.84e-06,7.719999999999999e-05,9.68e-05,4.84e-06,7.719999999999999e-05,9.68e-05,9.67e-06,0.0015215212559585194,0.0015215212559585194
Tci 139.7 x 3,139.7,,3.0,0.001288,3.0093700000000004e-06,4.3079999999999994e-05,5.607e-05,3.0093700000000004e-06,4.3079999999999994e-05,5.607e-05,6.0187000000000005e-06,0.0008199662668094449,0.0008199662668094449
Tci 139.7 x 4,139.7,,4.0,0.001704,3.926600000000001e-06,5.621e-05,7.3679e-05,3.926600000000001e-06,5.621e-05,7.3679e-05,7.853200000000001e-06,0.0010848000921143586,0.0010848000921143586
Tci 139.7 x 5,139.7,,5.0,0.002115,4.80298e-06,6.876e-05,9.0762e-05,4.80298e-06,6.876e-05,9.0762e-05,9.606000000000001e-06,0.0013464508185574346,0.0013464508185574346
Tci 152.4 x 3,152.4,,3.0,0.00141,3.9300000000000005e-06,5.16e-05,6.7e-05,3.9300000000000005e-06,5.16e-05,6.7e-05,7.860000000000001e-06,0.0008976338790382898,0.0008976338790382898
Tci 152.4 x 4,152.4,,4.0,0.0018600000000000003,5.14e-06,6.74e-05,8.809999999999999e-05,5.14e-06,6.74e-05,8.809999999999999e-05,1.027e-05,0.0011841127766037015,0.0011841127766037015
