designation,h,b,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
s Pca 10 x 10,10.0,10.0,0.0001,8.333333333333335e-10,1.6666666666666668e-07,2.5e-07,8.333333333333335e-10,1.6666666666666668e-07,2.5e-07,1.4100000262260437e-09,6.666666666666667e-05,6.666666666666667e-05
s Pre 20 x 10,20.0,10.0,0.0002,6.666666666666668e-09,6.666666666666667e-07,1e-06,1.666666666666667e-09,3.3333333333333335e-07,5e-07,4.569999873638153e-09,0.00013333333333333334,0.00013333333333333334
s Pca 20 x 20,20.0,20.0,0.0004,1.3333333333333335e-08,1.3333333333333334e-06,1.9989999532699587e-06,1.3333333333333335e-08,1.3333333333333334e-06,1.9989999532699587e-06,2.2490000724792482e-08,0.0002666666666666667,0.0002666666666666667
s Pre 30 x 20,30.0,20.0,0.0006,4.5e-08,3e-06,4.499000072479248e-06,2.0000000000000004e-08,2.0000000000000003e-06,2.997999906539917e-06,4.697999954223633e-08,0.00039999999999999996,0.00039999999999999996
s Pci 10,10.0,,7.853981633974483e-05,4.908738521234052e-10,9.817477042468103e-08,1.6699999570846557e-07,4.908738521234052e-10,4.908738521234052e-10,1.6699999570846557e-07,9.799999743700028e-10,5.890486225480862e-05,5.890486225480862e-05
s Pci 20,20.0,,0.0003141592653589793,7.853981633974483e-09,7.853981633974482e-07,1.3320000171661378e-06,7.853981633974483e-09,7.853981633974483e-09,1.3329999446868897e-06,1.5700000524520873e-08,0.00023561944901923448,0.00023561944901923448
