designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tci 219.1 x 3.2,0,1,219.1,,3.2,0.00217,1.265e-05,0.0001149999999999,0.000149,1.265e-05,0.0001149999999999,0.000149,2.53e-05,0.0013814649060376,0.0013814649060376
Tci 219.1 x 4,0,1,219.1,,4.0,0.002702,1.563043e-05,0.00014268,0.0001850929999999,1.563043e-05,0.00014268,0.0001850929999999,3.1260900000000004e-05,0.0017201466249372,0.0017201466249372
Tci 219.1 x 5,0,1,219.1,,5.0,0.003361,1.927065e-05,0.00017591,0.0002292359999999,1.927065e-05,0.00017591,0.0002292359999999,3.85413e-05,0.0021396790549274,0.0021396790549274
Tci 244.5 x 4,0,1,244.5,,4.0,0.00302,2.186e-05,0.000179,0.0002309999999999,2.186e-05,0.000179,0.0002309999999999,4.371e-05,0.00192259171255,0.00192259171255
Tci 273 x 4,0,1,273.0,,4.0,0.0033799999999999,3.058e-05,0.000224,0.000289,3.058e-05,0.000224,0.000289,6.116e-05,0.0021517748306024,0.0021517748306024
Tci 273 x 5,0,1,273.0,,5.0,0.004208,3.778898e-05,0.00027684,0.0003591619999999,3.778898e-05,0.00027684,0.0003591619999999,7.5578e-05,0.0026788960021227,0.0026788960021227
Tci 273 x 6,0,1,273.0,,6.0,0.00503,4.484809e-05,0.00032856,0.000427806,4.484809e-05,0.00032856,0.000427806,8.96962e-05,0.0032021974550089,0.0032021974550089
Tci 323.9 x 4,0,1,323.9,,4.0,0.00402,5.143e-05,0.000318,0.0004089999999999,5.143e-05,0.000318,0.0004089999999999,0.00010286,0.0025592114849176,0.0025592114849176
Tci 323.9 x 6,0,1,323.9,,6.0,0.005989,7.568628e-05,0.0004673399999999,0.000606434,7.568628e-05,0.0004673399999999,0.000606434,0.0001513726,0.0038127158167094,0.0038127158167094
Tci 355.6 x 5,0,1,355.6,,5.0,0.005504,8.459286e-05,0.00047578,0.000614643,8.459286e-05,0.00047578,0.000614643,0.0001691857,0.0035039552271111,0.0035039552271111
Tci 355.6 x 6,0,1,355.6,,6.0,0.006586,0.00010065447,0.00056611,0.000733393,0.00010065447,0.00056611,0.000733393,0.0002013088999999,0.0041927778208128,0.0041927778208128
Tci 406.4 x 5,0,1,406.4,,5.0,0.00631,0.00012701,0.000625,0.000806,0.00012701,0.000625,0.000806,0.00025401,0.0040170707636394,0.0040170707636394
Tci 406.4 x 6,0,1,406.4,,6.0,0.007544,0.00015120656,0.00074413,0.000961993,0.00015120656,0.00074413,0.000961993,0.0003024131,0.004802659562741,0.004802659562741
Tci 457.2 x 6.3,0,1,457.2,,6.3,0.00892,0.00022672828,0.0009918099999999,0.001280941,0.00022672828,0.0009918099999999,0.001280941,0.0004534566,0.0056786483695188,0.0056786483695188
Tci 508 x 6.3,0,1,508.0,,6.3,0.009925,0.00031230648,0.0012295499999999,0.0015858119999999,0.00031230648,0.0012295499999999,0.0015858119999999,0.000624613,0.0063184512407482,0.0063184512407482
s Tca 15 x 15x 1.5,1,0,15.0,15.0,1.5,7.52e-09,2.1900000000000002e-17,2.92e-13,3.7e-13,2.1900000000000002e-17,2.92e-13,3.7e-13,3.85e-17,3.76e-09,3.76e-09
