designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tca 60 x 60 x 5,0,0,60.0,60.0,5.0,0.001036,5.05e-07,1.6829999999999996e-05,2.088e-05,5.05e-07,1.6829999999999996e-05,2.088e-05,8.642e-07,0.000518,0.000518
Tca 70 x 70 x 2,0,0,70.0,70.0,2.0,0.000534,4.0700000000000003e-07,1.16e-05,1.35e-05,4.0700000000000003e-07,1.16e-05,1.35e-05,6.4e-07,0.000267,0.000267
Tca 70 x 70 x 3,0,0,70.0,70.0,3.0,0.000781,5.752e-07,1.6440000000000002e-05,1.941e-05,5.752e-07,1.6440000000000002e-05,1.941e-05,9.242e-07,0.0003905,0.0003905
Tca 70 x 70 x 4,0,0,70.0,70.0,4.0,0.001015,7.212000000000001e-07,2.06e-05,2.475e-05,7.212000000000001e-07,2.06e-05,2.475e-05,1.1852e-06,0.0005075,0.0005075
Tca 70 x 70 x 5,0,0,70.0,70.0,5.0,0.001236,8.463e-07,2.418e-05,2.955e-05,8.463e-07,2.418e-05,2.955e-05,1.4221e-06,0.000618,0.000618
Tca 80 x 80 x 2,0,0,80.0,80.0,2.0,0.000614,6.170000000000001e-07,1.5399999999999998e-05,1.78e-05,6.170000000000001e-07,1.5399999999999998e-05,1.78e-05,9.63e-07,0.000307,0.000307
Tca 80 x 80 x 3,0,0,80.0,80.0,3.0,0.000901,8.784e-07,2.196e-05,2.578e-05,8.784e-07,2.196e-05,2.578e-05,1.3993e-06,0.0004505,0.0004505
Tca 80 x 80 x 3.5,0,0,80.0,80.0,3.5,0.00104,9.98e-07,2.5e-05,2.95e-05,9.98e-07,2.5e-05,2.95e-05,1.61e-06,0.00052,0.00052
Tca 80 x 80 x 4,0,0,80.0,80.0,4.0,0.001175,1.1104e-06,2.776e-05,3.307e-05,1.1104e-06,2.776e-05,3.307e-05,1.8044e-06,0.0005875,0.0005875
Tca 80 x 80 x 5,0,0,80.0,80.0,5.0,0.001436,1.3144e-06,3.286e-05,3.973e-05,1.3144e-06,3.286e-05,3.973e-05,2.1783e-06,0.000718,0.000718
Tca 80 x 80 x 6,0,0,80.0,80.0,6.0,0.0016829999999999,1.4918e-06,3.729e-05,4.578e-05,1.4918e-06,3.729e-05,4.578e-05,2.5207e-06,0.0008414999999999,0.0008414999999999
Tca 90 x 90 x 3,0,0,90.0,90.0,3.0,0.001021,1.2728e-06,2.828e-05,3.3039999999999995e-05,1.2728e-06,2.828e-05,3.3039999999999995e-05,2.0142e-06,0.0005105,0.0005105
Tca 90 x 90 x 4,0,0,90.0,90.0,4.0,0.001335,1.6191e-06,3.598e-05,4.258e-05,1.6191e-06,3.598e-05,4.258e-05,2.6080000000000003e-06,0.0006675,0.0006675
Tca 90 x 90 x 5,0,0,90.0,90.0,5.0,0.001636,1.9292e-06,4.287e-05,5.141e-05,1.9292e-06,4.287e-05,5.141e-05,3.1626e-06,0.000818,0.000818
Tca 90 x 90 x 6,0,0,90.0,90.0,6.0,0.001923,2.2047e-06,4.899e-05,5.954e-05,2.2047e-06,4.899e-05,5.954e-05,3.6776e-06,0.0009615,0.0009615
Tca 100 x 100 x 3,0,0,100.0,100.0,3.0,0.001141,1.7704e-06,3.5409999999999995e-05,4.121e-05,1.7704e-06,3.5409999999999995e-05,4.121e-05,2.7868e-06,0.0005705,0.0005705
Tca 100 x 100 x 4,0,0,100.0,100.0,4.0,0.001495,2.2634e-06,4.527e-05,5.33e-05,2.2634e-06,4.527e-05,5.33e-05,3.6201e-06,0.0007475,0.0007475
Tca 100 x 100 x 5,0,0,100.0,100.0,5.0,0.001836,2.7109e-06,5.422e-05,6.459e-05,2.7109e-06,5.422e-05,6.459e-05,4.4052e-06,0.000918,0.000918
Tca 100 x 100 x 6,0,0,100.0,100.0,6.0,0.002163,3.1146e-06,6.229e-05,7.509e-05,3.1146e-06,6.229e-05,7.509e-05,5.1416e-06,0.0010815,0.0010815
