designation,is_welded,is_circular,h,b,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
s Pca 10 x 10,1,0,10.0,10.0,0.0001,8.333333333333335e-10,1.666666666666667e-07,2.5e-07,8.333333333333335e-10,1.666666666666667e-07,2.5e-07,1.4100000262260435e-09,6.666666666666667e-05,6.666666666666667e-05
s Pre 20 x 10,1,0,20.0,10.0,0.0002,6.6666666666666685e-09,6.666666666666667e-07,1e-06,1.6666666666666671e-09,3.3333333333333335e-07,5e-07,4.569999873638153e-09,0.0001333333333333,0.0001333333333333
s Pca 20 x 20,1,0,20.0,20.0,0.0004,1.3333333333333337e-08,1.3333333333333334e-06,1.9989999532699587e-06,1.3333333333333337e-08,1.3333333333333334e-06,1.9989999532699587e-06,2.249000072479248e-08,0.0002666666666666,0.0002666666666666
s Pre 30 x 20,1,0,30.0,20.0,0.0006,4.5e-08,3e-06,4.499000072479248e-06,2.0000000000000004e-08,2.0000000000000003e-06,2.997999906539917e-06,4.697999954223633e-08,0.0003999999999999,0.0003999999999999
s Pci 10,1,1,10.0,,7.853981633974483e-05,4.908738521234052e-10,9.817477042468105e-08,1.6699999570846557e-07,4.908738521234052e-10,4.908738521234052e-10,1.6699999570846557e-07,9.799999743700026e-10,5.890486225480862e-05,5.890486225480862e-05
s Pci 20,1,1,20.0,,0.0003141592653589,7.853981633974483e-09,7.853981633974482e-07,1.3320000171661378e-06,7.853981633974483e-09,7.853981633974483e-09,1.3329999446868895e-06,1.5700000524520873e-08,0.0002356194490192,0.0002356194490192
